"","Season","Team","name","pass.att","pass.comp","passyds","pass.tds","rush.att","rushyds","rushtds","recept","recyds","rec.tds","games","total.tds"
"109","2012","KC","P.Hillis",0,0,0,0,7,16,0,3,8,0,1,0
"110","2012","KC","T.Copper",0,0,0,0,0,0,0,0,0,0,1,0
"111","2012","KC","J.Charles",0,0,0,0,16,87,0,0,0,0,1,0
"112","2012","KC","T.Moeaki",0,0,0,0,0,0,0,3,37,0,1,0
"113","2012","KC","D.McCluster",0,0,0,0,0,0,0,6,82,0,1,0
"114","2012","KC","D.Bowe",0,0,0,0,0,0,0,3,53,0,1,0
"115","2012","KC","K.Boss",0,0,0,0,0,0,0,2,36,1,1,1
"116","2012","KC","E.Berry",0,0,0,0,0,0,0,0,0,0,1,0
"117","2012","KC","J.Houston",0,0,0,0,0,0,0,0,0,0,1,0
"118","2012","KC","R.Succop",0,0,0,0,0,0,0,0,0,0,1,0
"119","2012","KC","D.Johnson",0,0,0,0,0,0,0,0,0,0,1,0
"120","2012","KC","J.Belcher",0,0,0,0,0,0,0,0,0,0,1,0
"121","2012","KC","A.Elam",0,0,0,0,0,0,0,0,0,0,1,0
"122","2012","KC","J.Reeves",0,0,0,0,0,0,0,0,0,0,1,0
"123","2012","KC","T.Daniels",0,0,0,0,0,0,0,0,0,0,1,0
"124","2012","KC","T.Jackson",0,0,0,0,0,0,0,0,0,0,1,0
"125","2012","KC","S.Routt",0,0,0,0,0,0,0,0,0,0,1,0
"126","2012","KC","J.Powe",0,0,0,0,0,0,0,0,0,0,1,0
"127","2012","KC","G.Dorsey",0,0,0,0,0,0,0,0,0,0,1,0
"128","2012","KC","A.Studebaker",0,0,0,0,0,0,0,0,0,0,1,0
"129","2012","KC","E.Jones",0,0,0,0,0,0,0,0,0,0,1,0
"130","2012","KC","D.Poe",0,0,0,0,0,0,0,0,0,0,1,0
"131","2012","KC","R.Pitoitua",0,0,0,0,0,0,0,0,0,0,1,0
"132","2012","ATL","H.Douglas",0,0,0,0,0,0,0,3,32,0,1,0
"133","2012","ATL","S.Nicholas",0,0,0,0,0,0,0,0,0,0,1,0
"134","2012","ATL","Jz. Rodgers",0,0,0,0,7,22,0,2,13,0,1,0
"135","2012","ATL","M.Turner",0,0,0,0,11,32,0,0,0,0,1,0
"136","2012","ATL","M.Ryan",31,23,299,3,3,25,1,0,0,0,1,4
"137","2012","ATL","J.Snelling",0,0,0,0,2,5,0,0,0,0,1,0
"138","2012","ATL","J.Jones",0,0,0,0,0,0,0,6,108,2,1,2
"139","2012","ATL","R.White",0,0,0,0,0,0,0,6,87,0,1,0
"140","2012","ATL","T.Gonzalez",0,0,0,0,0,0,0,5,53,1,1,1
"141","2012","ATL","M.Palmer",0,0,0,0,0,0,0,1,6,0,1,0
"142","2012","ATL","M.Bryant",0,0,0,0,0,0,0,0,0,0,1,0
"143","2012","ATL","B.Grimes",0,0,0,0,0,0,0,0,0,0,1,0
"144","2012","ATL","R.Edwards",0,0,0,0,0,0,0,0,0,0,1,0
"145","2012","ATL","C.Matthews",0,0,0,0,0,0,0,0,0,0,1,0
"146","2012","ATL","S.Weatherspoon",0,0,0,0,0,0,0,0,0,0,1,0
"147","2012","ATL","W.Moore",0,0,0,0,0,0,0,0,0,0,1,0
"148","2012","ATL","T.DeCoud",0,0,0,0,0,0,0,0,0,0,1,0
"149","2012","ATL","J.Abraham",0,0,0,0,0,0,0,0,0,0,1,0
"150","2012","ATL","A.Samuel",0,0,0,0,0,0,0,0,0,0,1,0
"151","2012","ATL","D.Robinson",0,0,0,0,0,0,0,0,0,0,1,0
"152","2012","ATL","K.Biermann",0,0,0,0,0,0,0,0,0,0,1,0
"153","2012","ATL","J.Babineaux",0,0,0,0,0,0,0,0,0,0,1,0
"154","2012","ATL","V.Walker",0,0,0,0,0,0,0,0,0,0,1,0
"155","2012","CLE","T.Richardson",0,0,0,0,19,39,0,1,5,0,1,0
"156","2012","CLE","B.Weeden",35,12,118,0,2,25,0,0,0,0,1,0
"157","2012","CLE","D.Jackson",0,0,0,0,0,0,0,0,0,0,1,0
